,set2
0,4216.025879
1,4226.922852
2,4226.410156
3,4218.846191
4,4223.461426
5,4238.205078
6,4242.563965
7,4243.974121
8,4245.769043
9,4235.512695
10,4228.846191
11,4234.615234
12,4243.333496
13,4245.897461
14,4241.666504
15,4234.615234
16,4230.256348
17,4230.384766
18,4225.384766
19,4214.102539
20,4213.846191
21,4224.615234
22,4224.230957
23,4213.333496
24,4213.461426
25,4220.897461
26,4218.461426
27,4216.922852
28,4225.641113
29,4227.563965
30,4227.05127
31,4229.102539
32,4223.846191
33,4212.307617
34,4215.897461
35,4229.102539
36,4224.358887
37,4212.94873
38,4212.563965
39,4215.384766
40,4216.538574
41,4213.205078
42,4205.384766
43,4201.794922
44,4204.871582
45,4201.666504
46,4202.563965
47,4201.410156
48,4186.282227
49,4187.307617
50,4205.641113
51,4205.769043
52,4195.384766
53,4197.692383
54,4202.307617
55,4205.512695
56,4214.743652
57,4215.256348
58,4207.307617
59,4201.794922
60,4198.974121
61,4202.179688
62,4209.487305
63,4208.461426
64,4199.615234
65,4193.717773
66,4188.589844
67,4179.743652
68,4180.641113
69,4193.077148
70,4200.769043
71,4195.256348
72,4185.769043
73,4183.333496
74,4186.666504
75,4189.102539
76,4187.179688
77,4193.846191
78,4203.077148
79,4195.256348
80,4182.05127
81,4182.820313
82,4193.077148
83,4197.692383
84,4193.205078
85,4184.871582
86,4182.436035
87,4188.717773
88,4188.077148
89,4181.922852
90,4189.230957
91,4196.282227
92,4184.230957
93,4181.922852
94,4194.230957
95,4192.820313
96,4183.717773
97,4180.384766
98,4178.846191
99,4182.692383
100,4182.436035
101,4174.358887
102,4174.871582
103,4176.282227
104,4171.922852
105,4174.743652
106,4176.025879
107,4168.077148
108,4167.436035
109,4172.436035
110,4168.205078
111,4172.436035
112,4185.384766
113,4180.641113
114,4172.307617
115,4182.692383
116,4189.358887
117,4182.692383
118,4183.461426
119,4182.179688
120,4175.512695
121,4181.538574
122,4189.358887
123,4184.487305
124,4178.333496
125,4179.102539
126,4185.0
127,4204.615234
128,4383.461426
129,4378.717773
130,4374.487305
131,4356.538574
132,4340.897461
133,4350.128418
134,4366.153809
135,4371.410156
136,4366.282227
137,4361.538574
138,4356.922852
139,4349.871582
140,4341.666504
141,4337.692383
142,4335.512695
143,4337.307617
144,4344.615234
145,4332.563965
146,4316.794922
147,4325.512695
148,4330.384766
149,4314.615234
150,4304.230957
151,4310.0
152,4311.538574
153,4306.025879
154,4305.512695
155,4299.743652
156,4284.230957
157,4279.358887
158,4282.563965
159,4268.974121
160,4255.384766
161,4254.615234
162,4253.333496
163,4252.563965
164,4251.794922
165,4247.179688
166,4244.871582
167,4248.205078
168,4247.179688
169,4235.512695
170,4228.846191
171,4233.333496
172,4230.256348
173,4209.230957
174,4203.077148
175,4214.230957
176,4212.05127
177,4198.974121
178,4192.179688
179,4185.512695
180,4185.769043
181,4195.641113
182,4186.794922
183,4167.307617
184,4170.512695
185,4171.794922
186,4148.846191
187,4142.05127
188,4157.05127
189,4150.769043
190,4133.589844
191,4135.128418
192,4137.307617
193,4126.666504
194,4121.538574
195,4126.410156
196,4125.769043
197,4117.94873
198,4115.128418
199,4116.025879
200,4107.436035
201,4094.102539
202,4091.538574
203,4090.897461
204,4091.794922
205,4102.05127
206,4104.487305
207,4091.281982
208,4079.615479
209,4074.743652
210,4071.410156
211,4075.256348
212,4072.435791
213,4058.589844
214,4059.230713
215,4067.307617
216,4063.461426
217,4054.358887
218,4051.410156
219,4054.615479
220,4060.769287
221,4060.384521
222,4061.923096
223,4073.461426
224,4075.897461
225,4071.410156
226,4074.230713
227,4079.358887
228,4083.461426
229,4076.794922
230,4062.94873
231,4060.641113
232,4065.384521
233,4057.307617
234,4044.358887
235,4038.589844
236,4024.871826
237,4007.05127
238,4010.0
239,4021.410156
240,4014.102539
241,4003.718018
242,4008.076904
243,4002.564209
244,3997.564209
245,4006.794922
246,4010.384521
247,4010.384521
248,4013.333252
249,4010.641113
250,3999.358887
251,3990.897461
252,3992.94873
253,4002.05127
254,4001.666748
255,3994.102539
256,4074.871826
257,4080.256348
258,4071.025635
259,4050.384521
260,4051.666748
261,4066.025635
262,4067.179443
263,4069.102539
264,4074.230713
265,4062.692383
266,4057.692383
267,4076.153809
268,4083.846191
269,4074.743652
270,4070.256348
271,4062.564209
272,4051.794922
273,4049.871826
274,4055.769287
275,4051.923096
276,4034.358887
277,4030.897461
278,4039.871826
279,4034.743652
280,4026.923096
281,4032.564209
282,4027.179443
283,4015.0
284,4026.538574
