,set2
0,4228.717773
1,4230.256348
2,4233.589844
3,4237.563965
4,4246.025879
5,4248.974121
6,4245.641113
7,4242.820313
8,4231.538574
9,4220.512695
10,4220.0
11,4216.538574
12,4205.384766
13,4200.384766
14,4209.743652
15,4220.641113
16,4213.974121
17,4201.794922
18,4205.384766
19,4215.512695
20,4216.538574
21,4215.0
22,4210.897461
23,4195.769043
24,4183.077148
25,4187.307617
26,4198.333496
27,4199.358887
28,4196.153809
29,4199.487305
30,4202.563965
31,4206.410156
32,4212.436035
33,4216.025879
34,4220.256348
35,4214.615234
36,4200.769043
37,4204.102539
38,4219.230957
39,4218.205078
40,4212.05127
41,4216.410156
42,4218.846191
43,4216.794922
44,4222.179688
45,4234.358887
46,4238.589844
47,4226.153809
48,4209.230957
49,4206.282227
50,4214.230957
51,4219.358887
52,4212.820313
53,4203.077148
54,4199.871582
55,4196.794922
56,4199.615234
57,4209.230957
58,4204.487305
59,4188.077148
60,4185.897461
61,4189.230957
62,4184.487305
63,4187.820313
64,4197.820313
65,4196.153809
66,4188.717773
67,4192.05127
68,4200.128418
69,4193.974121
70,4183.333496
71,4187.179688
72,4197.307617
73,4198.333496
74,4195.512695
75,4198.589844
76,4203.205078
77,4202.436035
78,4201.025879
79,4203.717773
80,4200.897461
81,4185.512695
82,4166.794922
83,4153.461426
84,4151.410156
85,4162.179688
86,4171.025879
87,4171.282227
88,4175.0
89,4187.436035
90,4192.820313
91,4182.179688
92,4170.0
93,4170.0
94,4167.94873
95,4152.179688
96,4144.102539
97,4151.153809
98,4156.025879
99,4157.05127
100,4153.846191
101,4143.846191
102,4138.205078
103,4143.205078
104,4144.487305
105,4145.512695
106,4151.538574
107,4155.384766
108,4153.846191
109,4146.794922
110,4140.384766
111,4141.410156
112,4142.692383
113,4142.692383
114,4150.512695
115,4151.794922
116,4142.05127
117,4144.230957
118,4153.333496
119,4153.589844
120,4152.05127
121,4154.102539
122,4151.025879
123,4142.05127
124,4136.153809
125,4138.205078
126,4141.666504
127,4141.025879
128,3487.692383
129,3481.025635
130,3486.025635
131,3494.102539
132,3494.743652
133,3496.025635
134,3504.871826
135,3516.281982
136,3524.871826
137,3530.769287
138,3534.615479
139,3547.179443
140,3568.461426
141,3578.333252
142,3575.128174
143,3572.564209
144,3574.358887
145,3575.641113
146,3578.589844
147,3593.846191
148,3614.230713
149,3623.846191
150,3626.410156
151,3635.512939
152,3645.384521
153,3648.461426
154,3650.256348
155,3651.538574
156,3655.897461
157,3668.461426
158,3680.384521
159,3688.589844
160,3690.256348
161,3680.641113
