,set3
0,4146.153809
1,4141.794922
2,4139.358887
3,4140.641113
4,4139.102539
5,4136.410156
6,4138.717773
7,4143.461426
8,4137.563965
9,4132.820313
10,4134.358887
11,4132.307617
12,4131.538574
13,4138.974121
14,4138.461426
15,4134.743652
16,4145.0
17,4153.205078
18,4146.794922
19,4138.974121
20,4136.538574
21,4125.769043
22,4121.025879
23,4131.025879
24,4144.102539
25,4139.615234
26,4131.153809
27,4126.025879
28,4123.077148
29,4127.436035
30,4136.794922
31,4135.0
32,4131.410156
33,4135.897461
34,4133.461426
35,4132.307617
36,4138.461426
37,4137.94873
38,4134.102539
39,4136.025879
40,4132.179688
41,4131.794922
42,4136.410156
43,4133.717773
44,4125.897461
45,4129.743652
46,4132.179688
47,4132.179688
48,4132.692383
49,4130.641113
50,4127.179688
51,4129.230957
52,4131.922852
53,4129.743652
54,4132.563965
55,4134.743652
56,4134.871582
57,4137.820313
58,4141.282227
59,4135.256348
60,4131.794922
61,4128.846191
62,4125.256348
63,4127.563965
64,4133.333496
65,4129.743652
66,4131.538574
67,4140.128418
68,4137.179688
69,4128.205078
70,4128.846191
71,4136.922852
72,4136.538574
73,4128.717773
74,4131.025879
75,4148.077148
76,4145.769043
77,4128.333496
78,4131.538574
79,4148.589844
80,4144.871582
81,4137.436035
82,4140.384766
83,4142.05127
84,4137.94873
85,4138.589844
86,4141.666504
87,4141.538574
88,4143.461426
89,4144.871582
90,4126.282227
91,4123.205078
92,4125.512695
93,4130.256348
94,4133.205078
95,4132.05127
96,4132.94873
97,4127.820313
98,4127.179688
99,4135.641113
100,4135.256348
101,4124.102539
102,4126.666504
103,4134.230957
104,4128.717773
105,4125.256348
106,4125.769043
107,4117.94873
108,4115.897461
109,4130.512695
110,4137.820313
111,4132.692383
112,4127.436035
113,4131.153809
114,4133.077148
115,4135.897461
116,4137.94873
117,4136.922852
118,4135.641113
119,4135.512695
120,4131.282227
121,4130.0
122,4133.846191
123,4136.025879
124,4138.974121
125,4138.974121
126,4131.025879
127,4132.692383
128,4145.256348
129,4141.282227
130,4136.025879
131,4139.487305
132,4143.333496
133,4141.153809
134,4137.179688
135,4130.256348
136,4128.077148
137,4130.0
138,4132.436035
139,4133.333496
140,4131.922852
141,4128.717773
142,4131.538574
143,4141.025879
144,4147.820313
145,4147.692383
146,4142.436035
147,4144.743652
148,4147.692383
149,4151.153809
150,4153.461426
151,4152.94873
152,4146.153809
153,4142.436035
154,4143.333496
155,4145.384766
156,4141.922852
157,4141.794922
158,4144.102539
159,4143.717773
160,4147.692383
161,4154.102539
162,4151.666504
163,4142.820313
164,4139.615234
165,4140.256348
166,4146.410156
167,4146.794922
168,4146.922852
169,4152.179688
170,4153.717773
171,4153.333496
172,4161.153809
173,4160.128418
174,4154.230957
175,4157.05127
176,4159.102539
177,4155.256348
178,4153.333496
179,4152.692383
180,4143.461426
181,4154.102539
182,4149.615234
183,4142.563965
184,4140.128418
185,4145.384766
186,4151.922852
187,4151.794922
188,4145.384766
189,4145.128418
190,4143.461426
191,4141.538574
192,4143.077148
193,4145.128418
194,4144.487305
195,4141.410156
196,4135.256348
197,4132.820313
198,4141.410156
199,4146.538574
200,4145.641113
201,4136.153809
