,set3
0,3945.32959
1,3948.608154
2,3951.886475
3,3955.164795
4,3958.443115
5,3961.72168
6,3965.0
7,3963.205078
8,3955.384521
9,3951.281982
10,3956.666748
11,3959.487061
12,3956.794922
13,3956.025635
14,3955.897461
15,3957.307617
16,3957.307617
17,3957.435791
18,3958.333252
19,3958.333252
20,3963.076904
21,3972.05127
22,3973.205078
23,3963.076904
24,3958.846191
25,3958.076904
26,3947.307617
27,3939.487061
28,3947.179443
29,3956.281982
30,3956.281982
31,3963.974365
32,3971.666748
33,3962.692383
34,3954.358887
35,3957.05127
36,3959.615479
37,3959.358887
38,3957.692383
39,3951.794922
40,3950.641113
41,3957.820557
42,3956.923096
43,3946.666748
44,3948.333252
45,3957.692383
46,3957.435791
47,3961.794922
48,3969.871826
49,3963.461426
50,3965.128174
51,3981.794922
52,3980.769287
53,3967.692383
54,3969.102539
55,3982.94873
56,3997.307617
57,4007.820557
58,4011.281982
59,4009.102539
60,4006.794922
61,4011.923096
62,4018.461426
63,4017.307617
64,4104.230957
65,4108.077148
66,4098.974121
67,4094.230713
68,4095.0
69,4092.435791
70,4086.025635
71,4082.94873
72,4079.487061
73,4073.718018
74,4072.692383
75,4074.615479
76,4072.94873
77,4076.153809
78,4087.94873
79,4093.333252
80,4090.769287
81,4088.846191
82,4092.05127
83,4100.769043
84,4108.205078
85,4107.436035
86,4101.538574
87,4100.512695
88,4105.128418
89,4108.974121
90,4109.615234
91,4108.205078
92,4110.512695
93,4118.333496
94,4125.769043
95,4127.820313
96,4120.128418
97,4108.589844
98,4110.128418
99,4121.922852
100,4125.128418
101,4122.563965
102,4125.0
103,4125.128418
104,4118.974121
105,4113.461426
106,4113.077148
107,4117.820313
108,4122.94873
109,4124.487305
110,4122.05127
111,4119.230957
112,4120.256348
113,4122.94873
114,4120.0
115,4112.179688
116,4106.153809
117,4105.897461
118,4111.922852
119,4120.0
120,4127.307617
121,4133.974121
122,4139.615234
123,4139.102539
124,4139.102539
125,4140.256348
126,4124.102539
127,4105.256348
128,4062.820557
129,4059.358887
130,4066.281982
131,4076.794922
132,4078.846191
133,4080.769287
134,4084.743652
135,4083.461426
136,4081.666748
137,4082.307617
138,4082.820557
139,4081.025635
140,4076.281982
141,4075.769287
142,4076.410156
143,4075.512939
144,4077.94873
145,4079.615479
146,4077.307617
147,4073.589844
148,4066.923096
149,4063.589844
150,4075.512939
151,4080.769287
152,4067.820557
153,4065.256348
154,4073.974365
155,4076.538574
156,4077.05127
157,4076.666748
158,4069.615479
159,4062.564209
160,4063.461426
161,4068.333252
162,4066.666748
163,4058.076904
164,4056.923096
165,4062.307617
166,4060.256348
167,4054.871826
168,4048.205078
169,4038.205078
170,4031.153809
171,4022.564209
172,4013.461426
173,4009.615479
174,4009.358887
175,4011.538574
176,4007.820557
177,3995.512939
178,3987.94873
179,3988.333252
180,3985.128174
181,3980.384521
182,3974.615479
183,3963.333252
184,3958.205078
185,3960.769287
186,3956.281982
187,3945.256348
188,3939.358887
189,3934.230713
190,3918.846191
191,3906.025635
192,3996.923096
193,3987.05127
194,3981.538574
195,3974.102539
196,3967.05127
197,3959.871826
198,3947.179443
199,3942.05127
200,3941.281982
201,3932.564209
202,3924.487061
203,3916.410156
204,3901.923096
205,3893.461426
206,3899.487061
207,3895.641113
208,3878.333252
209,3866.666748
210,3865.384521
211,3861.538574
212,3849.871826
213,3846.923096
214,3851.410156
215,3843.333252
216,3831.538574
217,3833.974365
218,3833.205078
219,3824.102539
220,3822.179443
221,3816.025635
222,3801.794922
223,3794.358887
224,3793.589844
225,3789.230713
226,3785.769287
227,3788.589844
228,3790.512939
229,3783.589844
230,3768.974365
231,3755.128174
232,3744.230713
233,3738.461426
234,3739.743652
235,3740.0
236,3736.923096
237,3737.05127
238,3743.718018
239,3750.128174
240,3755.769287
241,3764.102539
242,3771.025635
243,3769.871826
244,3765.769287
245,3771.153809
246,3781.153809
247,3786.794922
248,3794.871826
249,3810.897461
250,3819.743652
251,3816.538574
252,3818.205078
253,3819.358887
254,3815.641113
255,3821.538574
256,4259.102539
257,4263.077148
258,4266.666504
259,4264.230957
260,4262.179688
261,4263.589844
262,4264.743652
263,4262.692383
264,4262.820313
265,4272.563965
266,4282.692383
267,4282.179688
268,4283.077148
269,4291.025879
270,4294.615234
271,4293.717773
272,4297.179688
273,4297.563965
274,4287.820313
275,4279.487305
276,4286.282227
277,4295.0
278,4286.538574
279,4275.641113
280,4279.102539
281,4283.077148
282,4278.846191
283,4275.128418
284,4278.333496
285,4286.922852
286,4291.025879
287,4283.077148
288,4277.94873
289,4286.794922
290,4298.461426
291,4301.025879
292,4297.692383
293,4295.256348
294,4293.717773
295,4290.769043
296,4290.0
297,4295.384766
298,4295.256348
299,4278.846191
300,4263.205078
301,4258.205078
302,4252.05127
303,4243.974121
304,4247.05127
305,4251.153809
306,4247.307617
307,4252.436035
308,4264.487305
309,4266.538574
310,4262.436035
311,4256.282227
312,4248.846191
313,4245.769043
314,4248.589844
315,4250.512695
316,4245.128418
317,4235.512695
318,4232.94873
319,4233.077148
320,4232.509277
321,4235.53125
322,4238.553223
323,4241.575195
324,4244.597168
325,4247.619141
326,4250.641113
327,4247.692383
328,4239.358887
329,4234.230957
330,4235.897461
331,4237.179688
332,4236.666504
333,4235.897461
334,4232.692383
335,4232.436035
336,4233.846191
337,4231.025879
338,4232.820313
339,4242.820313
340,4252.05127
341,4251.922852
342,4248.461426
343,4246.153809
344,4240.641113
345,4234.102539
346,4229.615234
347,4222.307617
348,4216.922852
349,4219.358887
350,4221.410156
351,4220.0
352,4220.256348
