,set1
0,4121.794922
1,4124.871582
2,4120.128418
3,4116.666504
4,4117.563965
5,4119.871582
6,4121.538574
7,4117.436035
8,4111.922852
9,4110.897461
10,4111.153809
11,4106.410156
12,4106.794922
13,4112.94873
14,4111.922852
15,4113.333496
16,4121.794922
17,4124.615234
18,4120.769043
19,4122.94873
20,4124.615234
21,4120.0
22,4120.256348
23,4120.512695
24,4117.179688
25,4118.461426
26,4121.922852
27,4118.077148
28,4116.153809
29,4119.743652
30,4116.922852
31,4110.897461
32,4110.128418
33,4110.641113
34,4109.871582
35,4113.461426
36,4117.179688
37,4117.563965
38,4119.358887
39,4122.563965
40,4124.230957
41,4123.333496
42,4122.94873
43,4123.846191
44,4123.461426
45,4120.897461
46,4118.717773
47,4122.307617
48,4121.666504
49,4112.05127
50,4112.436035
51,4122.05127
52,4122.179688
53,4118.205078
54,4121.922852
55,4124.102539
56,4124.615234
57,4125.128418
58,4116.666504
59,4107.307617
60,4107.307617
61,4109.230957
62,4106.025879
63,4104.743652
64,4121.538574
65,4127.436035
66,4128.974121
67,4131.922852
68,4137.563965
69,4134.743652
70,4127.307617
71,4125.0
72,4125.128418
73,4122.563965
74,4120.641113
75,4127.563965
76,4134.487305
77,4130.0
78,4123.589844
79,4125.0
80,4127.179688
81,4126.794922
82,4125.0
83,4122.692383
84,4123.461426
85,4124.871582
86,4124.487305
87,4126.282227
88,4127.94873
89,4127.179688
90,4124.871582
91,4123.717773
92,4123.077148
93,4122.436035
94,4124.615234
95,4127.307617
96,4123.846191
97,4121.922852
98,4126.794922
99,4127.94873
100,4121.282227
101,4123.077148
102,4134.487305
103,4134.871582
104,4126.794922
105,4123.205078
106,4123.717773
107,4125.128418
108,4125.0
109,4123.333496
110,4122.563965
111,4125.384766
112,4127.307617
113,4127.563965
114,4131.153809
115,4137.436035
116,4142.94873
117,4139.358887
118,4130.769043
119,4132.307617
120,4142.179688
121,4144.615234
122,4138.333496
123,4135.0
124,4136.153809
125,4138.205078
126,4138.717773
127,4138.717773
128,4139.871582
129,4142.94873
130,4140.0
131,4138.589844
132,4137.94873
133,4135.0
134,4134.743652
135,4138.205078
136,4139.102539
137,4141.410156
138,4145.897461
139,4143.205078
140,4136.666504
141,4135.897461
142,4137.179688
143,4137.05127
144,4135.256348
145,4133.205078
146,4134.487305
147,4137.179688
148,4136.666504
149,4136.282227
150,4135.769043
151,4134.102539
152,4135.641113
153,4138.974121
154,4139.230957
155,4138.205078
156,4137.820313
157,4139.487305
158,4138.077148
159,4134.743652
160,4136.282227
161,4141.153809
162,4147.563965
163,4151.410156
164,4146.794922
165,4142.692383
166,4144.358887
167,4141.538574
168,4136.538574
169,4140.769043
170,4142.436035
171,4138.077148
172,4142.692383
173,4152.307617
174,4152.820313
175,4144.615234
176,4142.563965
177,4147.436035
178,4146.282227
179,4141.153809
180,4144.487305
181,4153.589844
182,4153.717773
183,4148.589844
184,4150.128418
185,4153.974121
186,4154.102539
187,4151.922852
188,4152.563965
189,4155.128418
190,4154.358887
191,4154.871582
192,4126.538574
193,4123.974121
194,4120.128418
195,4125.769043
196,4128.333496
197,4122.436035
198,4120.641113
199,4124.871582
200,4127.563965
201,4126.538574
202,4122.94873
203,4122.820313
204,4126.282227
205,4124.102539
206,4119.487305
207,4118.461426
208,4118.077148
209,4119.743652
210,4126.153809
211,4127.436035
212,4125.641113
213,4132.436035
214,4136.666504
215,4129.358887
216,4124.871582
217,4127.820313
218,4128.077148
219,4131.025879
220,4139.615234
221,4138.974121
222,4130.128418
223,4123.974121
224,4121.153809
225,4121.153809
226,4118.717773
227,4114.102539
228,4115.897461
229,4122.820313
230,4124.487305
231,4121.025879
232,4119.743652
233,4121.282227
234,4124.487305
235,4126.794922
236,4127.94873
237,4127.820313
238,4125.0
239,4123.205078
240,4126.153809
241,4127.307617
242,4125.0
243,4131.410156
244,4137.179688
245,4130.128418
246,4122.436035
247,4123.077148
248,4125.769043
249,4124.487305
250,4122.436035
251,4127.692383
252,4137.94873
253,4140.384766
254,4136.282227
255,4136.922852
256,4127.307617
257,4125.641113
258,4129.230957
259,4132.307617
260,4128.205078
261,4128.717773
262,4135.897461
263,4137.05127
264,4136.153809
265,4135.384766
266,4136.794922
267,4137.563965
268,4129.743652
269,4127.436035
270,4137.05127
271,4142.307617
272,4140.641113
273,4140.769043
274,4141.538574
275,4139.615234
276,4139.615234
277,4140.128418
278,4138.717773
279,4136.794922
280,4138.717773
281,4141.410156
282,4137.563965
283,4135.641113
284,4140.0
285,4140.0
286,4137.692383
287,4137.179688
288,4130.384766
289,4119.230957
290,4125.512695
291,4138.846191
292,4133.461426
293,4124.743652
294,4132.692383
295,4142.179688
296,4140.641113
297,4140.0
298,4140.769043
299,4137.436035
300,4133.974121
301,4134.230957
302,4138.077148
303,4134.487305
304,4126.538574
305,4130.256348
306,4140.384766
307,4142.05127
308,4138.974121
309,4136.922852
310,4137.179688
311,4138.205078
312,4132.436035
313,4122.692383
314,4121.666504
315,4125.0
316,4125.256348
317,4123.589844
318,4121.153809
319,4126.282227
320,4133.077148
321,4134.358887
322,4124.871582
323,4121.282227
324,4124.615234
325,4123.846191
326,4123.974121
327,4124.102539
328,4120.512695
329,4121.666504
330,4123.974121
331,4121.410156
332,4120.641113
333,4126.922852
334,4128.717773
335,4124.230957
336,4124.871582
337,4127.05127
338,4127.179688
339,4128.205078
340,4126.538574
341,4120.897461
342,4118.974121
343,4120.512695
344,4119.871582
345,4121.794922
346,4126.025879
347,4125.384766
348,4122.307617
349,4120.512695
350,4120.128418
351,4119.743652
352,4116.666504
353,4116.025879
354,4120.128418
355,4122.307617
356,4120.384766
357,4120.128418
358,4122.563965
359,4123.846191
360,4123.589844
361,4122.179688
362,4123.461426
363,4126.794922
364,4125.897461
365,4123.846191
366,4126.922852
367,4130.897461
368,4127.563965
369,4122.179688
370,4122.179688
371,4124.743652
372,4126.410156
373,4125.512695
374,4125.641113
