,set2
0,4202.563965
1,4201.282227
2,4192.692383
3,4195.769043
4,4200.641113
5,4198.461426
6,4201.153809
7,4199.743652
8,4188.205078
9,4187.724121
10,4187.243652
11,4186.762695
12,4186.282227
13,4185.80127
14,4185.320313
15,4184.839844
16,4184.358887
17,4172.94873
18,4168.589844
19,4173.846191
20,4174.871582
21,4168.333496
22,4170.0
23,4177.94873
24,4177.05127
25,4167.307617
26,4166.794922
27,4180.384766
28,4176.025879
29,4158.846191
30,4167.307617
31,4188.974121
32,4196.666504
33,4194.615234
34,4192.820313
35,4187.436035
36,4184.615234
37,4186.794922
38,4186.794922
39,4186.794922
40,4186.410156
41,4187.05127
42,4188.077148
43,4185.384766
44,4176.025879
45,4169.743652
46,4180.0
47,4187.820313
48,4182.563965
49,4184.230957
50,4186.410156
51,4177.692383
52,4170.641113
53,4170.769043
54,4168.461426
55,4165.256348
56,4168.461426
57,4165.0
58,4153.589844
59,4153.974121
60,4168.205078
61,4177.94873
62,4172.563965
63,4159.230957
64,4154.102539
65,4158.333496
66,4158.205078
67,4153.589844
68,4149.358887
69,4141.025879
70,4136.538574
71,4141.410156
72,4141.794922
73,4138.974121
74,4140.256348
75,4138.205078
76,4134.743652
77,4133.846191
78,4134.743652
79,4135.256348
80,4135.769043
81,4137.307617
82,4135.256348
83,4123.333496
84,4108.333496
85,4108.205078
86,4114.871582
87,4113.077148
88,4108.974121
89,4102.820313
90,4048.076904
91,4047.179443
92,4045.769287
93,4049.743652
94,4056.410156
95,4067.179443
96,4074.871826
97,4076.410156
98,4077.435791
99,4078.974365
100,4078.333252
101,4074.871826
102,4074.358887
103,4081.410156
104,4080.641113
105,4066.410156
106,4065.128174
107,4080.256348
108,4080.256348
109,4072.05127
110,4078.461426
111,4094.487061
112,4107.94873
113,4112.436035
114,4107.692383
115,4105.384766
116,4109.358887
117,4106.794922
118,4105.769043
119,4118.717773
120,4128.077148
121,4123.717773
122,4126.922852
123,4140.384766
124,4134.358887
125,4121.282227
126,4132.05127
127,4152.307617
128,4163.461426
129,4176.538574
130,4188.589844
131,4183.461426
132,4172.94873
133,4168.589844
134,4174.487305
135,4182.94873
136,4186.153809
137,4193.461426
138,4199.615234
139,4191.666504
140,4183.333496
141,4186.282227
142,4182.436035
143,4174.871582
144,4181.282227
145,4185.769043
146,4178.461426
147,4170.769043
148,4174.743652
149,4182.563965
150,4185.384766
151,4185.512695
152,4184.743652
153,4186.153809
154,4188.205078
155,4188.589844
156,4187.436035
157,4186.282227
158,4189.487305
159,4198.846191
160,4201.538574
161,4189.230957
162,4181.025879
163,4187.563965
164,4193.589844
165,4197.820313
166,4209.102539
167,4219.615234
168,4215.0
169,4212.05127
170,4219.487305
171,4211.282227
172,4197.05127
173,4208.589844
174,4222.820313
175,4215.769043
176,4209.487305
177,4218.077148
178,4227.179688
179,4228.589844
180,4198.205078
181,4186.025879
182,4188.846191
183,4199.102539
184,4200.897461
185,4194.743652
186,4187.563965
187,4189.615234
188,4199.743652
189,4204.358887
190,4201.666504
191,4198.333496
192,4190.0
193,4181.282227
194,4184.487305
195,4185.512695
196,4176.410156
197,4171.025879
198,4178.589844
199,4185.512695
200,4186.025879
201,4193.077148
202,4198.717773
203,4198.846191
204,4196.282227
205,4188.589844
206,4181.410156
207,4185.0
208,4190.256348
209,4184.102539
210,4186.153809
211,4192.94873
212,4189.487305
213,4183.461426
214,4182.692383
215,4186.282227
216,4186.153809
217,4182.563965
218,4182.94873
219,4191.538574
