,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319
set1,15.543142367662552,14.860458468229147,14.99209549208726,14.750534105620446,14.5776575365271,14.445648172267886,14.361926821962316,14.406286328982327,14.546744346853234,14.60017548769244,14.448936152995676,14.554022146215692,14.42778337491502,14.193452517725476,14.33583910111233,14.10920495131018,14.019391431161848,13.970990652014066,13.914341643765551,13.844929449711184,14.118667999986124,13.97934607531272,14.166419884474868,14.090746246107257,14.074376136704268,14.194517057954355,14.245305353716928,14.118267260535514,13.952945969163576,13.884085186487098,14.14904960543388,14.07974619719424,14.229954839321024,14.292669395953505,14.169218260423303,14.083199872706263,14.181543318096878,13.953078895143996,13.847020336686391,13.968308343020553,13.836482039879574,13.956260956985124,14.004280813752352,14.198297404004082,14.103973094368367,14.244690152234371,14.32915039417792,14.050438451786963,14.081206326027807,13.95222832079181,14.164575352857153,14.11179162808417,13.937026090492116,14.024965748721751,13.901828619401696,13.834899602175891,14.10042952060502,14.207836858291136,14.106369333345604,13.956870196599873,14.149560606400351,14.106679051905624,13.968530341727202,14.00921001509931,17.38204319051851,16.889359550501574,16.77447921080165,16.863934101860504,16.711162354616285,16.724420912190038,16.83924983023172,16.734756640811423,16.527377358966564,16.434160194888975,16.34560431631276,16.427015152496235,16.47509547413656,16.594144891493603,16.328125479552007,16.186208043103335,16.43099917936009,16.55154750863805,16.632036606137518,16.65159964417996,16.327179740655787,16.203293418216752,16.149504431119354,16.41961651309007,16.3756428833668,16.320992653228426,16.457966494368087,16.356435537022445,16.148488653805114,16.192614475057233,16.26115335914556,16.459860463515497,16.261039124037506,16.115647426996595,16.026602209307416,16.328249593539788,16.16672868967678,16.23336770788514,16.241166178346976,16.138025018095185,16.201975763486445,16.070183781394448,16.00414422640584,16.144541446682418,16.372441973076565,16.338690080141042,16.301002800699333,16.276350859707932,16.463756017217694,16.24814356902844,16.263296890006504,16.112367800986707,16.361578658252444,16.167345042793805,16.11665191048734,16.255974483617514,16.32836204813526,16.516995821650216,16.613225007364047,16.3649341529393,16.344791595948482,16.518506439450984,16.618900296768178,16.47286088071384,16.395779421861263,17.037468301176734,17.487752815132154,17.730033212232915,17.591560179313618,17.694433498460693,17.66015488215346,17.702153099101473,17.754243970003795,17.974295189643243,17.951044021039436,18.28502495436134,18.48251410751163,18.4071652831542,18.52606911019633,18.299837037645357,18.19988582491205,18.31168670887223,18.40300465753871,18.3420224579736,18.30686272625571,18.46701043327973,18.66221395486542,18.453061854664384,18.405703922685444,18.37769446415235,18.48894462659608,18.58991174177453,18.660045960833557,18.80324132801397,18.890212816720872,18.96962181587064,19.022573485573854,18.75565428713716,18.57802250599154,18.674467222778777,18.711649460589697,18.701249012818312,18.715474619640958,18.7563825358828,18.637986931955236,18.833931014616837,18.96713311281728,18.85105265384086,18.807372799345643,18.94409441627871,18.71405891227141,18.752666571932096,18.946699549002176,19.053155525487604,18.760809231252185,18.603639328783107,18.672977188948305,18.755745536475484,18.913971323971477,18.70644566429057,18.91314767843579,19.041597500421467,19.06787125626607,19.1187082422224,18.98611773435959,19.04153482356128,18.76163905151264,18.772444329253823,20.435754949846405,20.2847759199562,20.164867655469003,20.225486601585278,20.08020449204958,19.990206768487838,19.823618242091374,19.709485539346986,19.59693869086759,19.582008961175195,19.67701340596861,19.70087503145552,19.87822596203993,19.641716127549795,19.663009410859217,19.66623937343392,19.81411602894225,19.63248945581625,19.806432548167905,19.600435564678648,19.503441081090934,19.75147635142608,19.8978476000868,19.92911131274412,19.980622110429444,19.87094232339708,19.96835173964161,19.7167824331092,19.742167724200968,19.602480645666063,19.80820337438703,19.925758174921206,19.843055180217323,19.90491848924385,19.82104103655731,19.61920779616259,19.66229109762726,19.707208678020216,19.58733380093621,19.480260430646084,19.58673674049649,19.49504111941552,19.47578637116992,19.624818301963792,19.851348512578426,19.617369316444112,19.813769095023805,19.767363513843804,19.772438963537503,19.584431411864102,19.80307940469619,19.917256108259934,20.002022028665134,19.905043101372605,19.686561672134253,19.59625087732808,19.857277365336035,19.93805201033292,19.84066605872295,19.77559485863908,19.786828485836885,19.783342555486858,19.90195522583641,19.654190796509056,31.33806672752292,31.43092214391896,31.135466512726065,31.01044959462482,31.305862198540545,31.25427148286431,31.03007035978829,31.274567991426363,30.8714551139594,30.73325841786593,30.563380350481317,30.70967792122888,30.616946689431927,30.686410389048586,30.688228778809844,30.831686743573933,30.64374457311903,30.83213906460186,30.76982035544606,30.591441141237983,30.666635467853443,30.569056032600308,30.86260514713472,30.525969012371583,30.395367810992912,30.315676181195386,30.48701284987268,30.61831509634676,30.72929810263739,30.8191974602182,30.90002553577609,30.825000385570096,30.783865636868367,30.8621717826224,30.593263764833672,30.587479322717897,30.746066908846117,30.54340372636177,30.745494740312115,30.71911274178701,30.573126613257045,30.60540175784469,30.54058477294383,30.856837841767376,30.537301337236283,30.74788615513485,30.92700813677893,30.78518730805753,30.738291460250856,30.61939537412083,30.47121709536077,30.69478788157608,30.83439759821075,30.93387622628998,30.72131550707785,30.845597068931102,30.86924553713967,30.942071372975494,30.97260956118884,31.227356578226903,31.051807896292445,31.140432122540037,31.032418248900665,30.803437589096525
set2,17.405638435876124,15.608265257078768,15.172231434221564,15.149640669958451,15.032190114164594,14.526542166862251,14.475590779860672,14.133125483418418,13.941680401743312,13.712118433105688,13.525846959138423,13.509741588740628,13.113869971257875,13.192813150632128,12.879417942088084,12.693960994703158,12.864451294463285,12.576482752958558,12.73475544706837,12.463653824229022,12.62812551524959,12.686305749215837,12.545427660165169,12.451383827730002,12.220709699342116,12.41210965314961,12.49255672039166,12.229904663413537,12.406271734804369,12.293969390942571,12.398886969574406,12.143502682361008,12.025380244242609,11.953116006114708,12.22212376487104,12.03600470001822,12.114302904089564,12.15141968519171,12.005986246374771,11.944635023423668,11.9122451777655,11.874313133581143,11.992544516438112,12.057863331343048,11.948046260394465,12.20842705368781,12.31360882547754,12.353887937015164,12.38484055657388,12.090106503556084,12.26994459274988,12.35595213377033,12.226308546370468,12.026115108253888,11.94815700765304,11.89185449016646,12.001832670071645,12.043303762110332,11.923469617105235,11.876961827601605,11.84697998440268,12.13097651171467,12.26957615372719,12.046755237640111,15.56703054456642,14.79434444598598,14.817656006986262,14.83825048069094,14.663436296188678,14.502113670080508,14.531532023577682,14.33890263368443,14.17518251100286,14.243419266646267,14.219434597025568,14.0213202613998,13.769638234112314,13.601376183318456,13.48702621488538,13.58401072160854,13.600174107306485,13.43741936399392,13.51815763426471,13.354196126662284,13.273535554916627,13.403904616815966,13.571863357679913,13.531418468258234,13.472760706128762,13.57497210190246,13.344718601806948,13.53385699463203,13.449336896362066,13.573289121382215,13.48830935284208,13.59640459941115,13.498303790195642,13.274589811380682,13.328130647459194,13.20860788384882,13.298745332673343,13.191774447842462,13.163751544808676,13.27432208156586,13.464376159344642,13.598195244824376,13.47565682915612,13.577892729115408,13.359856276784184,13.26093767512166,13.361806005860108,13.561937933093198,13.312677059002796,13.350325923342012,13.201727340835808,13.283777492137991,13.324787947003982,13.236711892967046,13.461664203733672,13.297079792993664,13.3375593650694,13.21658843636922,13.314865611267392,13.213480356679538,13.303376373259011,13.520957956890117,13.602661977539654,13.681866143394505,17.45176865826626,17.460251478773284,17.40359117484792,17.349656007981526,17.501985441722177,17.22935765894634,17.21555800277799,17.362930295907034,17.12429111453311,17.33306654493086,17.285551471485203,17.38297911489943,17.392172173356595,17.13283893873649,17.2632956394395,17.358002029500607,17.21760676326499,17.15545380802544,16.977758343610024,17.061253340384155,17.082184012707256,17.084505632615414,16.908858867000596,16.837333761442977,17.105976730539094,17.113466179849315,17.102071169943255,17.215540513039418,17.163809708675092,17.153141263728642,17.149857343403532,16.950089819986253,16.83505213886097,16.948724853296568,17.16106524779135,17.293377517783764,17.17074613720416,17.297780834627012,17.37558076719967,17.24313005700918,17.297104165259206,17.01533763693298,16.874628695683384,17.126859821669484,16.934545265986003,17.008787828491464,16.92724004652588,16.89724632758785,16.9842902739017,17.06280962321904,17.067206481375997,17.232007119955053,17.022159042771865,17.09560593196565,17.265472479982634,17.020421894702558,17.066787599707055,16.97054230986144,17.082575185265355,17.09004934484105,17.13022027094783,17.01475475500085,16.960755582747435,17.235016756637474,19.05634684804636,19.178872647476677,18.99503288659288,18.87649421013215,18.92192432915861,19.069502138139185,18.85626312727776,18.77532892740747,18.70734672232507,18.836135746653262,18.730246526169218,18.936867308452427,18.747718215238347,18.963195312815927,19.091532216227257,18.96645248285248,18.75669516335686,18.786791203775778,18.959423272564123,18.72988956044092,18.90567396369939,18.889843636228644,18.880266240922477,18.98966064096549,19.057614635744905,18.928732146907095,18.70520184252684,18.617479729245638,18.557769148783983,18.81455844087212,18.814766442114887,18.67907212742959,18.589867628118892,18.832736873025844,18.80229396321185,18.81437577372225,18.808667932237476,18.67062877188028,18.63964676475626,18.935084271091934,18.93239851449645,19.037175892171295,19.119485680343345,19.0118945258803,19.07520437166125,18.971531018416623,19.107251474902867,19.03678084562812,18.95527266232773,18.942496245458678,18.91047405218895,18.87121922449035,18.85211145899814,18.717856433577214,18.812823745511498,19.00895447595376,18.7828286739919,18.68797498397833,18.650741192277614,18.95638552846377,19.120802204973884,19.008439834002434,18.959228777689063,18.797222591023612,28.0245661460498,27.93621391194416,27.821344854755782,27.988214061593474,27.882929595825026,27.936180883743024,28.14111321697051,27.894252094802287,27.97322419048846,27.848791469577648,27.82713452901499,27.850812918830805,28.01415708353874,27.98983292879526,27.66395519322577,27.554909735767783,27.68718925780047,27.499986694289657,27.61765776001022,27.837210204628988,27.68879587862628,27.469762373011985,27.53266331863232,27.614264653550418,27.56823704835047,27.706705284410155,27.896064018898716,27.997330661710524,27.826711285905816,27.592162526614985,27.78775971665891,27.78180088590164,27.68247412229257,27.93246273196124,27.896012320347168,27.66528622161117,27.92637912987692,28.07801187280216,27.800177363395544,27.827502100886186,27.90218040618467,27.716426846443184,27.5625911833679,27.478372430130623,27.61139995753516,27.544255884006525,27.831474854068148,27.924059977024715,27.91165015844451,27.735457231761504,27.61142183989101,27.72499034800899,27.917341913806634,27.84377204604531,27.925921548830267,27.861496492585086,27.92743184776182,27.81003073452746,27.757475887400204,27.818284617648857,27.77584847140412,28.06205493201588,27.97878704951367,27.740405239034622
set3,20.83883763877068,20.99851968546502,20.905170438582637,20.821008165646788,20.903780102604703,20.710725804524664,20.88904698302871,20.68257679942533,20.817202889626124,20.72656404179023,20.8206789760406,20.77472276026557,20.76704438881532,20.74177818225667,20.57058339961785,20.783421657590928,20.600194503922264,20.886032394983403,21.023711377897826,20.79652986231765,20.758808846162054,20.73842377101875,20.8045815841133,20.935086930142504,20.97803918179605,20.71004768923412,20.65302514789585,20.601706217655742,20.669180404382683,20.784368991812656,20.778145361507477,21.015634652974573,21.047878088159003,20.838668716268977,20.85484826704072,20.822269655994223,20.96369931105025,21.02817598159431,20.997694076252813,21.05775271761261,20.790409605337327,20.65870680700833,20.741909980198663,20.90848398812374,20.834695421172388,20.94991674126949,20.8768734982417,20.78545665783096,20.96386935130753,20.975899815094344,20.8167558072564,20.98856373149857,20.92493126224829,20.74519018403636,20.80658452975884,20.9877272370712,20.779441384441316,20.68294093205256,20.716977984149,20.9849627112349,20.923197914484614,20.81409815635167,20.99794174047585,20.923648666226885,34.95960855580712,34.965061882849014,34.470869242868126,34.1663346956572,34.291445339703515,34.35600213969152,33.92159597541995,34.198809407610014,33.82017504858462,33.86934528333932,34.21160351814972,34.430344036006574,33.94336834190999,33.94288599765173,34.28028018612907,33.9664993113678,34.16824074518394,34.25887235296562,34.027984378380566,34.14003796014059,33.52468161158901,33.542753163089664,33.586424124130744,33.151545761684226,33.49575898793551,33.714280277488264,33.66892932636476,34.238680361230706,34.289985176417005,34.195246498069935,33.81417806875186,34.51178381912281,34.32110553712456,34.21262535656462,34.72382430237056,34.63793796462365,34.32249930267771,34.17138937337988,34.03032320707476,33.80566613234283,33.65978348154961,33.79575442123982,34.0767384191697,34.32446102977744,34.23712569572164,34.29880581034078,34.14380802167168,34.24022146411415,34.031853597727554,34.52426698149684,34.48526132418283,33.9046557283288,34.145894036519216,34.422921784657646,34.314909718398425,34.045882002930774,34.61104790881737,34.529353297622464,34.60331382661558,34.517787321885564,34.78165693314382,34.86378120150424,34.582706102164366,34.24288929611389,55.60253939788083,55.35600808297656,55.65871884344692,55.60688917992249,55.36865032067468,55.81739800635786,55.275732509234274,55.05607756592033,55.69242145094307,55.75412929814168,55.65328750739004,55.38714275544045,55.24975326522576,55.19228407405559,55.70211192354052,55.41475070935745,54.99104122101576,55.062388353801154,55.21650316927222,55.10110081216084,55.41306046597665,55.40057976321303,55.72113814638676,55.49664222434799,55.13776827383387,55.7832190213209,55.753769926829065,55.255031299111536,55.5372838061772,55.17040900800826,55.12569376711021,55.2863863760209,55.10394183631774,55.08147118993847,55.018975104327055,54.99148621690391,54.95843977137229,55.09356433026292,55.41362608809025,55.65257052711447,55.14075654755816,54.99432224795503,54.79817925982742,54.510091935502345,54.8349646336676,55.39837345539675,55.37822126802259,55.77144473206538,55.46797192287024,55.8935899029983,55.41115837762291,55.71749282563613,55.5547861682734,55.86419182335388,55.99213690143071,56.03655128825346,55.52549539258521,55.61582405148728,55.67659393742673,55.40360239513024,55.74653208568644,55.86494750271197,55.74025255271016,55.448408660659496,67.02498932454222,67.30603432183096,66.64112043148013,66.74365329763866,66.71848822778242,67.13031886076337,66.98111751443211,66.56196486858745,66.4744185550037,66.60822926332317,65.94316162072928,66.047773236073,65.59131211806768,66.2248425050541,67.05082720048077,67.01520122473578,66.40354417518267,66.22998115789466,66.11326214060797,65.92472618358478,66.01292210449482,66.55130098478698,66.69541137053298,67.07955581088385,67.01139563814174,66.86627147825853,67.25244232050723,66.8461186224957,65.70427266901554,66.07894545778676,66.95258230312557,66.97662266056481,66.19306362862564,65.72574750876156,65.67319784153992,66.02404090417751,66.8299818224821,67.40830589001261,66.99374229721622,67.24666485122245,67.16875324624347,66.96478491688035,66.03113457456236,66.11661314136666,66.35178756430625,67.52005797387386,67.3832963733621,66.89083569529178,67.01240924563731,67.10606713410026,66.4438036358134,66.80528490479158,66.79346353303123,66.33901145238556,66.78304365454083,67.30175182395445,67.10315397991336,67.6533088753192,67.11296945307748,66.17932731354232,66.53475647691899,67.68911586813832,67.86052440570198,67.43224743472831,69.25325760273815,69.91255771752625,69.98006715341819,70.62469482387999,71.22330194168762,71.59848230768475,71.85706354862403,71.63313445788555,71.92590716475661,72.6443218899016,72.83994137753928,73.26048714640758,72.91675163943658,74.03550136422382,73.94867549343921,73.27971538725134,73.22019858760615,73.969393371463,74.27055411741442,74.37210054772156,74.32025155257153,74.38454661889466,75.03837041853389,75.13104187887002,74.33004084789654,74.21911573255893,75.01479765838293,75.04770590237057,75.1346720261217,75.01722156081055,75.5864730165419,75.74063622683362,75.86260577233985,75.68244126447709,75.35178316874573,75.03622082213349,75.4327236627601,75.24997155045932,75.79198698391751,75.4534544525258,76.10332038932671,75.98275187387455,76.18227276766876,76.32669756055961,76.16067967325472,75.44134349216358,75.45224179113444,75.7126144855525,75.76634703872205,76.4447813018316,76.21997098494242,76.04765290525165,76.3243062952356,76.3589959250195,75.71044036349792,75.24549391012015,74.94866740817326,74.96629873590271,75.81142353147654,76.38906794484751,75.86514097137719,76.3716553719077,76.6584445179804,76.63493969229214
