,set3
0,4023.846191
1,4007.692383
2,4002.307617
3,4023.461426
4,4031.794922
5,4023.718018
6,4021.666748
7,4013.461426
8,4001.666748
9,4014.358887
10,4037.692383
11,4036.666748
12,4021.025635
13,4019.743652
14,4031.025635
15,4038.974365
16,4036.153809
17,4028.718018
18,4030.128174
19,4037.307617
20,4036.410156
21,4030.769287
22,4028.589844
23,4027.564209
24,4028.076904
25,4027.94873
26,4027.94873
27,4034.102539
28,4032.05127
29,4019.871826
30,4021.410156
31,4037.564209
32,4038.461426
33,4025.769287
34,4025.641113
35,4036.666748
36,4048.205078
37,4054.871826
38,4056.666748
39,4053.461426
40,4050.0
41,4046.923096
42,4045.641113
43,4047.94873
44,4043.333252
45,4039.487061
46,4045.512939
47,4049.230713
48,4046.666748
49,4048.333252
50,4053.333252
51,4056.025635
52,4057.05127
53,4057.692383
54,4061.666748
55,4063.333252
56,4057.564209
57,4057.05127
58,4061.410156
59,4063.846191
60,4072.435791
61,4077.307617
62,4071.923096
63,4080.0
64,4091.794922
65,4101.282227
66,4105.512695
67,4095.641113
68,4092.307617
69,4092.307617
70,4084.615479
71,4083.205078
72,4091.666748
73,4091.153809
74,4083.076904
75,4073.974365
76,4066.666748
77,4071.410156
78,4076.538574
79,4066.153809
80,4059.102539
81,4066.666748
82,4063.974365
83,4048.846191
84,4051.025635
85,4061.153809
86,4055.256348
87,4047.307617
88,4046.794922
89,4043.846191
90,4043.589844
91,4043.718018
92,4038.333252
93,4033.846191
94,4031.153809
95,4032.94873
96,4036.923096
97,4032.179443
98,4031.281982
99,4036.923096
100,4037.435791
101,4038.846191
102,4045.512939
103,4050.897461
104,4048.718018
105,4038.333252
106,4032.820557
107,4036.666748
108,4031.281982
109,4022.05127
110,4021.538574
111,4020.769287
112,4019.615479
113,4022.564209
114,4023.205078
115,4019.358887
116,4020.641113
117,4027.692383
118,4032.94873
119,4031.538574
120,4023.974365
121,4018.461426
122,4023.718018
123,4032.94873
124,4024.615479
125,4004.230713
126,4000.641113
127,4006.538574
128,3967.307617
129,3967.94873
130,3972.94873
131,3978.589844
132,3974.487061
133,3968.461426
134,3970.641113
135,3967.05127
136,3957.564209
137,3957.307617
138,3961.794922
139,3957.179443
140,3955.897461
141,3966.281982
142,3974.487061
143,3974.743652
144,3970.256348
145,3971.025635
146,3968.589844
147,3959.487061
148,3960.641113
149,3968.205078
150,3972.692383
151,3975.897461
152,3970.256348
153,3957.564209
154,3956.281982
155,3960.512939
156,3957.179443
157,3956.666748
158,3961.153809
159,3961.538574
160,3960.0
161,3957.820557
162,3955.0
163,3961.794922
164,3973.461426
165,3967.820557
166,3955.769287
167,3966.025635
168,3976.794922
169,3971.281982
170,3974.615479
171,3983.076904
172,3976.281982
173,3970.384521
174,3979.358887
175,3982.564209
176,3973.205078
177,3971.923096
178,3978.076904
179,3974.871826
180,3969.487061
181,3975.512939
182,3977.307617
183,3972.564209
184,3977.307617
185,3990.128174
186,3995.256348
187,3990.769287
188,3987.94873
189,3986.538574
190,3976.794922
191,3972.307617
192,4208.077148
193,4199.615234
194,4205.512695
195,4216.794922
196,4213.589844
197,4205.128418
198,4201.794922
199,4201.153809
200,4200.384766
201,4195.128418
202,4191.410156
203,4188.333496
204,4182.05127
205,4188.077148
206,4203.974121
207,4205.384766
208,4194.230957
209,4199.230957
210,4209.871582
211,4207.820313
212,4207.436035
213,4215.512695
214,4225.641113
215,4234.102539
216,4235.641113
217,4233.333496
218,4235.512695
219,4235.384766
220,4235.769043
221,4244.743652
222,4242.307617
223,4227.820313
224,4226.538574
225,4237.94873
226,4245.641113
227,4251.153809
228,4248.974121
229,4246.922852
230,4258.846191
231,4266.025879
232,4264.487305
233,4270.128418
234,4283.333496
235,4279.358887
236,4265.0
